ROW0:25.82,25.82,25.82,25.51,25.51,25.51,26.36,26.36,26.36,27.25,27.25,27.25,26.29,26.29,21.29,21.29,21.29,23.86,23.86,23.86,30.91,30.91,30.91,33.07,33.07,33.07,31.6,31.6,31.6,27.79
ROW1:25.51,25.51,27.3,27.3,27.3,26.85,26.85,26.85,27.57,27.57,27.57,28.97,28.97,31.01,31.01,31.01,34.17,34.17,34.17,34.14,34.14,34.14,30.82,30.82,30.82,28.2,28.2,28.2,26.39,26.39
ROW2:25.29,27.48,27.48,27.48,26.75,26.75,26.75,26.76,26.76,26.76,28.42,28.42,28.42,28.91,28.91,25.23,25.23,25.23,27.32,27.32,27.32,32.2,32.2,32.2,32.92,32.92,32.92,30.38,30.38,27.01
ROW3:25.64,25.64,25.64,25.35,25.35,25.35,26.01,26.01,26.01,26.29,26.29,23.13,23.13,23.13,18.97,18.97,18.97,22.86,22.86,22.86,30.42,30.42,30.42,32.48,32.48,32.48,31.38,31.38,27.73,27.73
ROW4:25.8,25.8,25.92,25.92,25.92,25.98,25.98,25.98,26.8,26.8,23.57,23.57,23.57,19.04,19.04,19.04,20.35,20.35,20.35,27.79,27.79,27.79,31.8,31.8,31.8,31.38,31.38,28.57,28.57,28.57
ROW5:26.13,29.04,29.04,29.04,26.26,26.26,26.26,26.04,26.04,25.36,25.36,25.36,20.75,20.75,20.75,19.48,19.48,19.48,26.17,26.17,26.17,31.03,31.03,31.03,31.57,31.57,28.64,28.64,28.64,26.95
ROW6:26.1,26.1,26.1,25.57,25.57,25.79,25.79,25.79,26.64,26.64,26.64,22.91,22.91,22.91,18.42,18.42,18.42,22.25,22.25,22.25,28.79,28.79,31.17,31.17,31.17,29.19,29.19,29.19,27.2,27.2
ROW7:26.51,26.51,22.98,22.98,24.95,24.95,24.95,26.48,26.48,26.48,22.73,22.73,22.73,17.85,17.85,17.85,21.48,21.48,21.48,28.76,28.76,31.2,31.2,31.2,30.29,30.29,30.29,27.26,27.26,27.26
ROW8:26.14,27.04,27.04,25.79,25.79,25.79,25.69,25.69,25.69,25.42,25.42,25.42,20.19,20.19,20.19,18.13,18.13,18.13,25.91,25.91,30.57,30.57,30.57,31.29,31.29,31.29,28.47,28.47,28.47,26.76
ROW9:26.6,26.6,25.6,25.6,25.6,25.57,25.57,25.57,25.82,25.82,25.82,21.53,21.53,21.53,17.35,17.35,23.26,23.26,23.26,30.32,30.32,30.32,32.08,32.08,32.08,30.3,30.3,30.3,27.63,27.63
ROW10:26.51,27.26,27.26,27.26,25.58,25.58,25.58,24.92,24.92,24.92,21.75,21.75,21.75,17.23,17.23,20.91,20.91,20.91,28.7,28.7,28.7,32.7,32.7,32.7,32.67,32.67,32.67,29.85,29.85,28.1
ROW11:27.26,27.26,27.26,25.89,25.89,25.89,25.14,25.14,25.14,22.91,22.91,18.01,18.01,18.01,17.26,17.26,17.26,25.58,25.58,25.58,31.41,31.41,31.41,33.58,33.58,33.58,32.86,32.86,30.26,30.26
